case_id;date;end_date;label
20110212;2011-02-12 00:07:14.591801;2011-02-12 04:33:26.812174;sleeping
20110212;2011-02-12 04:33:33.984986;2011-02-12 04:37:23.682103;bed_to_toilet
20110212;2011-02-12 04:37:30.095093;2011-02-12 08:37:24.658597;sleeping
20110212;2011-02-12 08:50:34.665084;2011-02-12 09:08:27.631232;meal_preparation
20110212;2011-02-12 09:08:41.800392;2011-02-12 09:23:28.680123;relax
20110212;2011-02-12 09:24:00.480450;2011-02-12 09:26:37.140533;meal_preparation
20110212;2011-02-12 09:29:02.851184;2011-02-12 09:32:01.255449;meal_preparation
20110212;2011-02-12 09:32:03.591827;2011-02-12 09:41:28.492663;relax
20110212;2011-02-12 10:58:05.981184;2011-02-12 10:58:10.631290;leave_home
20110212;2011-02-12 13:50:26.813531;2011-02-12 13:50:32.228825;enter_home
20110212;2011-02-12 14:07:44.542044;2011-02-12 14:26:36.319046;meal_preparation
20110212;2011-02-12 15:06:35.726360;2011-02-12 15:27:11.263739;relax
20110212;2011-02-12 15:32:48.240925;2011-02-12 16:02:59.854060;relax
20110212;2011-02-12 16:17:05.270948;2011-02-12 16:23:17.128952;relax
20110212;2011-02-12 16:23:40.392360;2011-02-12 16:28:26.830203;relax
20110212;2011-02-12 16:29:17.003177;2011-02-12 16:50:54.083002;relax
20110212;2011-02-12 16:52:05.694717;2011-02-12 17:43:37.582362;relax
20110212;2011-02-12 17:54:18.869933;2011-02-12 18:45:44.353642;relax
20110212;2011-02-12 18:45:51.529772;2011-02-12 18:55:44.669263;meal_preparation
20110212;2011-02-12 18:55:47.910856;2011-02-12 19:05:28.026948;relax
20110212;2011-02-12 19:05:48.580337;2011-02-12 20:41:58.111555;relax
20110212;2011-02-12 20:55:54.883424;2011-02-13 07:42:18.700334;sleeping
20110213;2011-02-13 07:43:42.388935;2011-02-13 07:54:24.059480;sleeping
20110213;2011-02-13 08:11:58.354337;2011-02-13 08:31:03.511404;meal_preparation
20110213;2011-02-13 08:32:12.033457;2011-02-13 08:36:18.255156;meal_preparation
20110213;2011-02-13 08:36:26.209747;2011-02-13 09:05:53.419587;relax
20110213;2011-02-13 09:19:58.703485;2011-02-13 10:43:19.912619;relax
20110213;2011-02-13 10:54:41.182114;2011-02-13 11:04:23.321590;relax
20110213;2011-02-13 11:25:57.671127;2011-02-13 11:40:09.643924;work
20110213;2011-02-13 11:45:49.570979;2011-02-13 12:03:08.208506;relax
20110213;2011-02-13 12:03:44.104019;2011-02-13 12:08:13.809363;relax
20110213;2011-02-13 12:16:35.586882;2011-02-13 12:28:12.265274;relax
20110213;2011-02-13 12:32:05.141912;2011-02-13 13:19:21.451943;relax
20110213;2011-02-13 13:19:35.150567;2011-02-13 13:25:51.546276;meal_preparation
20110213;2011-02-13 13:28:21.591942;2011-02-13 13:31:32.008484;meal_preparation
20110213;2011-02-13 13:31:36.411296;2011-02-13 13:43:03.792283;relax
20110213;2011-02-13 13:44:46.710145;2011-02-13 13:58:19.348688;relax
20110213;2011-02-13 14:09:58.198878;2011-02-13 14:42:09.005966;relax
20110213;2011-02-13 14:46:24.008973;2011-02-13 14:59:55.459793;relax
20110213;2011-02-13 17:03:42.723193;2011-02-13 17:24:09.331681;meal_preparation
20110213;2011-02-13 17:38:00.310306;2011-02-13 18:02:38.891625;relax
20110213;2011-02-13 18:03:14.910879;2011-02-13 19:35:21.745743;relax
20110213;2011-02-13 19:35:24.938264;2011-02-13 19:39:03.561552;meal_preparation
20110213;2011-02-13 19:39:15.570294;2011-02-13 20:27:57.820920;relax
20110213;2011-02-13 20:29:16.519091;2011-02-13 20:38:41.727416;relax
20110213;2011-02-13 20:42:34.049854;2011-02-13 23:18:15.252833;relax
20110213;2011-02-13 23:37:48.975414;2011-02-14 00:14:07.063718;relax
20110214;2011-02-14 00:16:35.530367;2011-02-14 04:47:46.732815;sleeping
20110214;2011-02-14 04:47:57.215610;2011-02-14 04:50:16.311895;bed_to_toilet
20110214;2011-02-14 04:50:32.660285;2011-02-14 07:34:07.665269;sleeping
20110214;2011-02-14 07:42:29.473702;2011-02-14 08:00:55.772012;meal_preparation
20110214;2011-02-14 08:01:11.003380;2011-02-14 08:12:45.846992;relax
20110214;2011-02-14 08:16:40.636787;2011-02-14 08:26:51.410847;relax
20110214;2011-02-14 08:28:46.299401;2011-02-14 08:46:56.949641;relax
20110214;2011-02-14 08:49:58.951732;2011-02-14 08:53:45.413363;relax
20110214;2011-02-14 09:02:01.681382;2011-02-14 09:21:22.972813;meal_preparation
20110214;2011-02-14 09:23:35.244563;2011-02-14 10:00:37.530398;eating
20110214;2011-02-14 11:44:23.409349;2011-02-14 11:44:28.078858;leave_home
20110214;2011-02-14 13:40:35.209311;2011-02-14 13:40:40.118944;enter_home
20110214;2011-02-14 13:55:08.704420;2011-02-14 14:01:27.028588;meal_preparation
20110214;2011-02-14 14:05:34.580177;2011-02-14 14:08:13.267429;meal_preparation
20110214;2011-02-14 14:09:32.518211;2011-02-14 14:13:57.410310;relax
20110214;2011-02-14 14:14:28.691118;2011-02-14 14:43:52.649011;relax
20110214;2011-02-14 16:10:32.855132;2011-02-14 16:20:55.929494;meal_preparation
20110214;2011-02-14 17:27:37.516524;2011-02-14 17:33:53.887852;relax
20110214;2011-02-14 17:34:44.530568;2011-02-14 17:45:14.082276;meal_preparation
20110214;2011-02-14 17:47:28.070836;2011-02-14 17:48:25.874329;meal_preparation
20110214;2011-02-14 17:48:45.480431;2011-02-14 18:16:56.991485;relax
20110214;2011-02-14 18:21:38.523801;2011-02-14 18:29:20.596096;relax
