sleeping_mean_occ_time,sleeping_std_occ_time,sleeping_mean_duration,sleeping_std_duration,sleeping_nb_occ,bed_to_toilet_mean_occ_time,bed_to_toilet_std_occ_time,bed_to_toilet_mean_duration,bed_to_toilet_std_duration,bed_to_toilet_nb_occ,meal_preparation_mean_occ_time,meal_preparation_std_occ_time,meal_preparation_mean_duration,meal_preparation_std_duration,meal_preparation_nb_occ,relax_mean_occ_time,relax_std_occ_time,relax_mean_duration,relax_std_duration,relax_nb_occ,housekeeping_mean_occ_time,housekeeping_std_occ_time,housekeeping_mean_duration,housekeeping_std_duration,housekeeping_nb_occ,eating_mean_occ_time,eating_std_occ_time,eating_mean_duration,eating_std_duration,eating_nb_occ,wash_dishes_mean_occ_time,wash_dishes_std_occ_time,wash_dishes_mean_duration,wash_dishes_std_duration,wash_dishes_nb_occ,leave_home_mean_occ_time,leave_home_std_occ_time,leave_home_mean_duration,leave_home_std_duration,leave_home_nb_occ,enter_home_mean_occ_time,enter_home_std_occ_time,enter_home_mean_duration,enter_home_std_duration,enter_home_nb_occ,work_mean_occ_time,work_std_occ_time ,work_mean_duration,work_std_duration ,work_nb_occ,resperate_mean_occ_time,resperate_std_occ_time,resperate_mean_duration,resperate_std_duration,resperate_nb_occ,nb_label
30585.754154166672    ,34495.8340085114     ,207.65750352037037    ,123.997416649056     ,18             ,13683.815108222223         ,6769.471161357532         ,2.486913375925926          ,0.6989447003600459        ,9                   ,45324.71909688679             ,14476.412348326037           ,4.666638388993711             ,5.037851125364144            ,53                     ,59139.15864412121  ,16796.164389499732,25.75226282449495  ,25.4590716478124  ,66          ,41758.96157833333         ,8018.140198500503        ,27.348600814814816        ,29.826024967660683       ,9                  ,52475.84499721212   ,12549.186986482246 ,7.267516409090908   ,4.476100617202004  ,33           ,54423.66881688889        ,12635.877565957457      ,4.252565348148149        ,5.143994018958517       ,9                 ,48937.912339049995      ,8518.462849544687      ,0.14950329666666667     ,0.1707556651769371     ,20               ,52767.57173349999       ,8156.13440933371       ,0.13890568833333333     ,0.1656514573921195     ,20               ,52691.18504884211 ,17662.89692971065 ,12.725382028947369,18.608808343545476,19         ,25486.820211           ,0.0                   ,1.7427804833333334     ,0.0                   ,1               ,11
37076.45701282353     ,35552.18168244419    ,209.42143580588237    ,126.75735413734573   ,17             ,13504.650371555554         ,6607.3859574353655        ,2.46925527037037           ,0.69661546864282          ,9                   ,47709.8178097963              ,16631.42711322642            ,3.9509481774691375            ,3.3787108485472443           ,54                     ,60114.434168444444 ,16461.4439722223  ,26.1694146599537   ,24.68513984367871 ,72          ,42860.81349071429         ,8590.9170831307          ,33.01089286666667         ,31.577619125813417       ,7                  ,54153.551860303036  ,13721.317365147459 ,7.727070574242424   ,4.177669758485271  ,33           ,55738.10158157143        ,12020.76484101554       ,2.753362223809524        ,1.8899156081017048      ,7                 ,49398.71746970001       ,8389.053531536181      ,0.15062835833333332     ,0.17011161144582626    ,20               ,53796.1240289           ,7510.75359025426       ,0.13846872999999998     ,0.1658249678505364     ,20               ,51526.0328677     ,18359.614837692046,12.363739038333332,18.12017396442608 ,20         ,25486.820211           ,0.0                   ,1.7427804833333334     ,0.0                   ,1               ,11
37368.95535982352     ,35839.96882686573    ,209.16173384803926    ,125.9197417636921    ,17             ,13594.918440444446         ,6639.356591066766         ,2.5524158759259254         ,0.7585395625421869        ,9                   ,46602.85453778689             ,16097.520911784166           ,3.9544541904371604            ,3.3244203684997378           ,61                     ,61633.29048802438  ,16624.20392443096 ,27.603464312601623 ,26.056966820094352,82          ,46080.71660771429         ,9213.339022480948        ,21.852678702380953        ,21.729007076319103       ,7                  ,53612.291291942856  ,13613.365933404177 ,7.912933023809524   ,4.068423904966938  ,35           ,55132.647411499995       ,12884.715570231385      ,3.0725034305555554       ,1.858526317041089       ,6                 ,49051.43281663158       ,8488.121254274512      ,0.09632099824561405     ,0.05340483955275901    ,19               ,53466.9399328421        ,7709.141283916946      ,0.10255567368421055     ,0.05168740891921893    ,19               ,56415.86034723529 ,14679.130688823978,14.675435088235293,19.659528063551896,17         ,25486.820211           ,0.0                   ,1.7427804833333334     ,0.0                   ,1               ,11
42349.253083647054    ,35851.03227853804    ,229.9009850284314     ,128.79495175037408   ,17             ,13949.863050000002         ,6831.982726110219         ,2.622653024074074          ,0.8366452800402033        ,9                   ,47207.61410146031             ,16330.703370459343           ,3.9967437904761915            ,3.2586081807970237           ,63                     ,60742.72386197646  ,16432.785489963746,28.18395795588235  ,25.49905765001434 ,85          ,48643.45013500001         ,9746.273861986905        ,19.197947176666666        ,24.953189638490898       ,5                  ,55096.57519664706   ,13392.074369941502 ,7.858885847058823   ,4.088262700166286  ,34           ,64386.29274360001        ,6821.4223282477205      ,2.98112922               ,2.1180458111942913      ,5                 ,47616.4866396875        ,7970.277781210433      ,0.09987462604166666     ,0.05747634678496981    ,16               ,51867.393290687505      ,7362.748410628132      ,0.10128843020833335     ,0.05100802704507311    ,16               ,56186.442730176466,12227.10993277748 ,20.436148083333336,25.336400901980923,17         ,34374.4813925          ,8887.6611815          ,1.6904022916666666     ,0.052378191666666685  ,2               ,11
49318.002191928565    ,35792.03194341201    ,249.04383197023813    ,125.34598470078767   ,14             ,16049.907590000003         ,6488.467766448229         ,2.965224411111111          ,0.514826461678945         ,6                   ,47556.57579119672             ,17346.710261920034           ,4.103867376502732             ,3.4133731650894434           ,61                     ,60824.942604026306 ,16993.2257582687  ,29.792506583771928 ,27.590525708151766,76          ,47782.38466175            ,10725.210906781516       ,22.61740479583333         ,26.83027467939393        ,4                  ,54823.22916648001   ,14997.074478063127 ,7.887433654666666   ,3.674889007267851  ,25           ,56426.24708079999        ,17654.437965221256      ,2.464962026666667        ,1.7030581944925438      ,5                 ,46580.56561494117       ,8772.60861016577       ,0.09833815392156862     ,0.05609792389183812    ,17               ,51366.68777747059       ,7418.391539291796      ,0.09935111568627453     ,0.05008813889423671    ,17               ,57026.477706846155,11327.492319660989,25.30340379871795 ,27.02875595923924 ,13         ,34374.4813925          ,8887.6611815          ,1.6904022916666666     ,0.052378191666666685  ,2               ,11
49259.094433          ,35792.177659712725   ,248.11968332261907    ,125.57100813052163   ,14             ,15971.0637185              ,6437.67619510291          ,3.0289250916666663         ,0.547193753701794         ,6                   ,48581.578511444444            ,17729.94739297626            ,4.641205626851852             ,3.7146039419500716           ,54                     ,60417.11644222535  ,17151.0414903632  ,28.1272608302817   ,27.397519070924606,71          ,42455.943324              ,8678.816301585843        ,21.320115470833333        ,27.601533266067598       ,4                  ,57290.38760300001   ,14335.489486613487 ,7.87643136594203    ,3.616920027066074  ,23           ,57423.108921             ,17482.353100519013      ,3.8043185033333335       ,2.226976779975247       ,5                 ,47602.66185329999       ,8026.32095259974       ,0.09198882749999998     ,0.04941318786680903    ,20               ,52486.157552250006      ,6850.1540518053425     ,0.0903507175            ,0.030393970999732768   ,20               ,53612.82913509092 ,12866.94098730946 ,28.131784790909094,28.209078580746464,11         ,34374.4813925          ,8887.6611815          ,1.6904022916666666     ,0.052378191666666685  ,2               ,11
51454.414768307695    ,36070.290788490645   ,270.78001466410257    ,137.79006888943226   ,13             ,15270.2478916              ,6622.052793150908         ,3.02501104                 ,0.6865643229401319        ,5                   ,48708.92574777551             ,18063.429983894002           ,5.2923373054421745            ,5.316578428366982            ,49                     ,60306.66903936842  ,16673.573490654893,29.492066438157895 ,27.11126152115952 ,76          ,46925.02375875            ,8204.66971494101         ,12.870242666666668        ,13.285756153533214       ,4                  ,54201.81937841176   ,16295.86357436805  ,8.788871017647057   ,3.763609362822846  ,17           ,46671.16037              ,17606.121551533055      ,4.344095                 ,2.321765328380757       ,4                 ,47204.34019889474       ,8164.978415909469      ,0.11691310614035086     ,0.10849772215951863    ,19               ,51990.86317878947       ,7339.018329611051      ,0.0851113105263158      ,0.01904978879248407    ,19               ,51582.61308049999 ,11586.901563170593,24.674037813888887,22.731107776277447,12         ,34374.4813925          ,8887.6611815          ,1.6904022916666666     ,0.052378191666666685  ,2               ,11
45874.674054769224    ,36128.18372044957    ,244.49872889871796    ,133.56883506395266   ,13             ,12651.305657714285         ,7389.2292184483085        ,2.712814921428571          ,0.9619073373682886        ,7                   ,49266.48172213045             ,18078.995023980213           ,5.4729347623188405            ,5.7457039928310945           ,46                     ,61164.794694624994 ,16242.848165564737,30.751332297685174 ,27.853649078414705,72          ,44038.118194              ,9337.568155797002        ,11.431151916666668        ,12.226732270065408       ,5                  ,53104.870185374995  ,17243.1328437861   ,9.117972774999998   ,4.616041893344952  ,16           ,47313.498186000004       ,19181.37426841489       ,4.037121538888889        ,2.0459756913015963      ,6                 ,46462.81840175          ,8583.980836964642      ,0.11288569666666666     ,0.10704137696324538    ,20               ,51245.53878415          ,8630.351173851088      ,0.08894768500000001     ,0.032432946279401645   ,20               ,51582.61308049999 ,11586.901563170593,24.674037813888887,22.731107776277447,12         ,43262.142574           ,0.0                   ,1.6380241              ,0.0                   ,1               ,11
39795.60970576923     ,36312.22567691128    ,245.92122418589744    ,131.59264760315068   ,13             ,12870.079157               ,7589.15069826874          ,2.977348471428571          ,1.1079718180215814        ,7                   ,47880.33449205001             ,17219.54954290785            ,5.94571606                    ,5.914505162823884            ,40                     ,61398.248078789475 ,16161.42650665059 ,30.076680448026316 ,28.71320116427009 ,76          ,43501.24088966667         ,8608.116446296657        ,11.38521518888889         ,11.161901088883125       ,6                  ,53513.19023071428   ,16457.225511260734 ,11.41079517857143   ,5.7190704474459695 ,14           ,51375.630563714294       ,20356.07782183841       ,3.598168216666667        ,2.1780941858868657      ,7                 ,46017.96526740001       ,8548.103913657806      ,0.11066535083333333     ,0.10726955887924192    ,20               ,50846.9273299           ,8742.01686727565       ,0.08979717083333333     ,0.032070584169508864   ,20               ,52558.0605614     ,8055.9102776221625,30.08044112166666 ,22.83731497746487 ,10         ,43262.142574           ,0.0                   ,1.6380241              ,0.0                   ,1               ,11
34822.53221708333     ,35920.2540735539     ,255.44429437777777    ,142.46301425706605   ,12             ,12298.122539999998         ,8056.330995295633         ,2.90243385                 ,1.1802187950793503        ,6                   ,48229.040756848495            ,18483.34455597474            ,6.405714629292929             ,6.262749746815738            ,33                     ,60866.27164913334  ,15555.990300836595,32.101598655999986 ,29.51050875666276 ,75          ,40709.239495400005        ,6492.146932262201        ,11.28163033               ,12.224617137712992       ,5                  ,53063.012060083325  ,17798.66627117071  ,12.697826623611112  ,6.0281835697893875 ,12           ,51375.630563714294       ,20356.07782183841       ,3.598168216666667        ,2.1780941858868657      ,7                 ,44764.776931875         ,8579.86265818166       ,0.11934803958333332     ,0.11804996402860791    ,16               ,51014.2753388125        ,9268.6658276935        ,0.09359612916666664     ,0.03372536769045479    ,16               ,51949.52835849999 ,8372.734563444712 ,39.41121658611112 ,23.663432565401088,6          ,43262.142574           ,0.0                   ,1.6380241              ,0.0                   ,1               ,11
