tw_id;mean;std
0;570.8594756764707;427.6846478834313
1;598.8226491538462;424.6883833417373
2;604.9009295468751;425.1786617577163
3;599.7810437258063;432.91884869891896
4;623.167861709091;440.7028324427908
5;620.7178151960786;444.156579305001
6;651.9231868222223;462.2217281392268
7;666.7518493333334;473.59624297778737
8;696.5031095263158;487.8509267640334
9;713.0006943513515;489.24021239583413
10;721.0631664390245;478.0838444398378
11;699.9690473023256;475.94066342833844
12;690.4459074146339;478.381096900839
13;681.7027577560974;482.77228415763176
14;677.2291057999998;481.2061971109339
15;639.9311346499996;469.222001049986
16;628.5257910256407;469.69285501949423
17;567.7354505789472;324.0906166392878
18;567.7354505789472;324.0906166392878
19;576.5653735675673;323.8992709177657
20;576.5653735675673;323.8992709177657
21;572.3634430555553;327.37080614861674
22;572.3634430555553;327.37080614861674
23;544.8020909999998;287.9011620915403
24;544.8020909999998;287.9011620915403
25;522.5019163999999;257.6888180273204
26;523.9046411764705;261.31916224850556
27;521.6571649090907;263.73483777803386
28;582.64682925;400.6925272226973
29;580.0530040606061;392.17237030714364
30;576.2841419393939;394.7659049591661
31;564.8562902727274;395.562909097385
32;606.4054351470589;456.9867539659267
33;610.3066355882354;454.6404821024006
34;602.1442063750001;468.93538080153024
35;593.35823771875;471.39366808311235
36;613.4406715625001;468.25723811042116
37;607.4034219393941;462.37084702288996
38;607.4034219393941;462.37084702288996
39;590.8005048181822;466.5757920320732
40;550.4368018571429;482.7510442487685
41;607.1820407307692;518.41412286118
42;590.1745181071428;508.17012155292684
43;602.2004854074074;513.5676509884318
44;615.3265684999999;518.8873577023202
45;711.39706348;660.1650709513588
46;687.2292890740741;640.9930711463818
47;666.8897470714285;638.7907011362063
48;638.3088802;626.6936990415022
49;638.3088802;626.6936990415022
50;624.8896288709677;620.8688173047959
51;624.8896288709677;620.8688173047959
52;606.7167254242423;606.4243374398138
53;588.4120859459458;593.2442880240951
54;573.8526669230768;581.2259539617496
55;578.3365517567565;592.2290144800826
56;613.96227725641;603.4547100305857
57;618.2217908918919;617.9933832301992
58;572.8540908055555;562.4679108448602
59;561.9185491764706;570.9406839321564
60;588.6466257058826;576.7308823956744
61;632.0947241666668;648.5814721109439
62;587.1757474999999;608.6107383364548
63;589.3233133333334;608.0845545419147
64;598.2166779428571;614.3974953462157
65;606.2340766764706;621.5601397231299
66;568.6975565555556;611.0980767391333
67;573.1114457714286;619.2004773784852
68;565.11341975;612.3706961247397
69;577.6288026285713;618.6091112744732
70;588.4587333999999;617.1185162684427
71;565.1585771470587;610.765826993121
72;580.8032343548385;633.7885862071762
73;632.0995656249997;686.0801298218819
74;621.6087049393936;678.2064501970624
75;551.3778409117648;566.88108502168
76;550.5333562727272;577.3405595008545
77;686.0197596216215;767.1316579274834
78;698.7735581388888;773.591779587099
79;690.2344992972972;764.7843040292114
80;703.2323440277776;771.2918961719013
81;691.2331677631577;753.1518081123126
82;702.6650717297296;759.8134834509347
83;734.8185579696969;783.5706461427595
84;762.6849765000001;787.9317967807632
85;812.1666431818182;824.8473915899017
86;782.4329944193549;836.484256284948
87;725.5174924117647;819.8304335609096
88;725.5174924117647;819.8304335609096
89;720.4932966764707;822.439022133572
90;707.357579030303;831.2860484368038
91;674.8974768333334;797.6760311011665
92;685.7406982413793;809.1357857969648
93;693.1652947142858;822.4866406652593
94;718.8459667500001;826.1021741996797
95;739.4273507878789;821.7783426818731
96;773.019482;836.6436080398431
97;755.304908125;829.3529859859881
98;772.0778091515151;819.2666534160662
99;772.258098125;831.9685748617771
100;770.054641875;832.283379898635
101;712.2746503999999;818.235956376277
102;701.6388985128204;795.1383767746265
103;661.6218738684211;765.787135793709
104;664.9403968421051;764.4237880460128
105;676.9773665555554;783.2392316150792
106;690.8619089142854;789.9690686724197
107;571.3222436896551;609.8185302994624
108;565.2720163666668;600.30127066388
109;577.8366893333333;600.2959149704623
110;577.8366893333333;600.2959149704623
111;566.9192847666667;604.3813022870689
112;573.3019937931035;613.7184530496877
113;564.76436678125;588.3897394139346
114;582.9830231764706;604.8743820743597
115;528.283546382353;516.0560911330072
116;528.283546382353;516.0560911330072
117;566.1118923225806;524.5199778734527
118;566.1118923225806;524.5199778734527
119;577.9404006333333;529.107354154204
120;577.9404006333333;529.107354154204
121;570.7262267096773;522.0010805397472
122;570.7262267096773;522.0010805397472
123;570.7262267096773;522.0010805397472
124;522.1507534814814;439.03728347218555
125;492.44897242857144;399.60504948318953
126;497.10627164285717;397.7993948658914
127;507.88231437037035;401.06584747666125
128;484.75317348;389.6971820302518
129;474.42568542307686;385.6026451331537
130;565.3451713793103;778.440708719368
131;618.5292416666666;789.194123045834
132;650.8003393461538;844.5781467006758
133;650.8003393461538;844.5781467006758
134;660.35215148;859.925910022878
135;660.35215148;859.925910022878
136;648.7535982307692;845.2185983195249
137;683.0414137586206;819.7577997827997
138;662.233162;812.8340900409927
139;658.8698720689655;826.5244336316545
140;658.8698720689655;826.5244336316545
141;684.601942111111;849.4236896112786
142;684.601942111111;849.4236896112786
143;695.8430187199999;879.2790922083447
