tw_id;mean;std
0;13905.574936111112;9082.545982056457
1;13816.200801874998;9691.539327023409
2;13699.698214249998;9620.429110330198
3;16783.63153;9301.54030341297
4;14942.629918214285;7520.7590820472615
5;14887.18099935714;7534.260487831299
6;16246.800879846152;8267.404133365937
7;15423.897304166667;9276.593012105828
8;15147.733176166665;9127.957827955854
9;15326.657662666665;8547.780855423964
10;11741.879306714285;8811.269062385003
11;12647.140377714286;9895.730646873339
12;14267.218190166668;9791.518492003312
13;17103.257800166666;8338.805832990316
14;17220.572396285712;7725.580240153098
15;14774.76330014286;9212.280127691247
16;14615.650856625;8196.923933280363
17;17753.826679714286;6860.421985160543
18;16284.799302333333;6308.988144049449
19;12783.28680375;8199.931638595539
20;15480.917452777778;10896.47924417049
21;15504.098340777777;10901.873495787551
22;17155.929951625003;10447.500772796206
23;18154.740616000003;11772.860154972403
24;19153.566256625;11327.244822974853
25;19428.769218444442;10707.758570779242
26;21523.269395124997;9430.79678771641
27;19293.690740000002;7826.846158633746
28;18618.495083285718;8097.044136331228
29;19352.816737250003;7819.30024476934
30;18157.649830285714;7645.165700854501
31;17123.951448571428;7445.881774608359
32;16503.643914285716;7222.124676131636
33;18940.1294315;4392.838935664457
34;19408.132448166667;4571.533454847158
35;17494.956910333334;7884.392084541009
36;17931.032909285714;7306.434610728396
37;17931.032909285714;7306.434610728396
38;14723.154915166668;9281.151921737197
39;13272.602341428572;9932.313069921336
40;13272.602341428572;9932.313069921336
41;15134.809080428573;12370.955684226921
42;13526.3552365;12331.379042838718
43;13096.313230833335;12413.495264350238
44;14449.954511285716;11961.412160696189
45;17048.87572442857;10854.1455485209
46;22711.278734000003;11996.82823538004
47;22711.278734000003;11996.82823538004
48;16946.855306375;10415.402182417298
49;14980.625666666669;9151.669709169873
50;15788.617920800001;9612.455954577019
51;13270.075671363635;10195.619327488006
52;13305.206997833333;9691.352815494292
53;11485.739378749999;6683.688742575374
54;12899.630244846154;8076.166140914245
55;13380.0351645;9716.010367370847
56;14965.7444675;10115.946128971109
57;14738.359280307694;10463.28008921207
58;16433.637663666672;10449.903391115557
59;16715.291021384615;10195.645203687407
60;17168.651181666668;9766.983240620899
61;15413.40539515385;8784.013933079596
62;15668.727250076921;7386.286728143859
63;16902.02063325;7839.963983333894
64;17489.00543069231;7802.023420480792
65;17420.748915;7101.508456335453
66;15700.651205250002;8285.284448298113
67;17314.299724;8701.78845360484
68;17603.183383333333;8580.491767615862
69;17271.520304538462;8301.987335569103
70;15241.887288666667;7028.387824369935
71;14853.372553833333;6621.124168317332
72;16117.737613083335;6931.697370159723
73;17317.330545500005;6356.085572808879
74;17344.93081116667;6404.604611236521
75;18045.578922700002;6696.521603619819
76;19440.512936625004;6546.7361588300655
77;20003.19036928572;6815.403820401755
78;21193.324550999998;7451.64532369399
79;20687.188933857145;7836.457303767268
80;20967.508391714284;6395.615551605914
81;19250.78997214286;5656.274625274753
82;18653.271854125;5522.088157253412
83;16885.516001599997;7065.746425731126
84;16651.40518172727;6777.4800350819905
85;15638.4217527;5610.180822981871
86;15824.229643461538;6135.057323167637
87;15622.6651851;6622.43567731758
88;15892.387388000001;6536.06708388144
89;15247.028764;6979.979788435951
90;14984.303326899997;6837.182946367349
91;15249.914638916664;6773.207415797899
92;14580.48228490909;6683.504980437594
93;14458.028185777779;6035.81646483208
94;16606.071204916665;8497.800993151903
95;14966.280069818184;9837.498532977494
96;15278.632336333334;9282.286883566218
